job,location,company_name,work_type,job_details,days_since_post,min_applications,alumni_count,followers_count,min_employees,max_employees,job_type,experience_level
Salesforce Developer,India,Applicantz,Remote,"About the job THIS IS A LONG TERM CONTRACT POSITION WITH ONE OF THE LARGEST, GLOBAL, TECHNOLOGY LEADER. Our large, Fortune Technology client is ranked as one of the best companies to work with, in the world. As a global leader in 3D design, engineering, and entertainment software, they foster progressive culture, creativity, and a flexible work environment. They use cutting-edge technologies to keep themselves ahead of the curve. Diversity in all aspects is respected. Integrity, experience, honesty, people, humanity, and passion for excellence are some other adjectives that define this global technology leader. PD1 certification is a must. Description:Experience Level: 3-5 years Excellent Salesforce configuration experience (MUST HAVE).SQL/PLSQL skill is a big plus.Hands on with Tibco configuration and debugging will be nice to have. 3 to 5 years' experience Visual Force (able to come in and hit the ground running with this experience).6-9 years of relevant experience in related field or equivalent combination of experience and education.Design, develop, document, test, and debug new and existing software systems and/or applications for market sale or large-scale proprietary software for internal use. Serve as technical expert on development projects. Participate in full development life cycle including requirements analysis and design. Write technical specifications based on conceptual design and stated business requirements. Analyze code to find causes of errors and revise programs as needed. Participate in software design meetings and analyze user needs to determine technical requirements. Consult with end user to prototype, refine, test, and debug programs to meet needs. Considered highly skilled and proficient in discipline. Works under minimal supervision with wide latitude for independent judgment.",0.0,27,1.0,331817.0,51.0,200.0,Contract,Associate
Salesforce Developer,"Bengaluru, Karnataka, India",Applicantz,Hybrid,"About the job THIS IS A LONG TERM CONTRACT POSITION WITH ONE OF THE LARGEST, GLOBAL, TECHNOLOGY LEADER. Our large, Fortune client is ranked as one of the best companies to work with, in the world. The client fosters progressive culture, creativity, and Flexible work environment. They use cutting edge technologies to keep themselves ahead of the curve. Diversity in all aspects is respected. Integrity, experience, honesty, people, humanity, and passion for excellence are some other adjectives that define this global technology leader. Experience Level:5-7 years Excellent Salesforce configuration experienceExperience with Lightening, LWC components, Apex, triggers and integration experienceSQL/PLSQL skill is a big plus.3 to 5 years' experience Visual Force (able to come in and hit the ground running with this experience).6-9 years of relevant experience in related field or equivalent combination of experience and education.Design, develop, document, test, and debug new and existing software systems and/or applications for market sale or large-scale proprietary software for internal use.Serve as technical expert on development projects.Participate in full development life cycle including requirements analysis and design.Write technical specifications based on conceptual design and stated business requirements.Analyze code to find causes of errors and revise programs as needed.Participate in software design meetings and analyze user needs to determine technical requirements.Consult with end user to prototype, refine, test, and debug programs to meet needs.Considered highly skilled and proficient in discipline.Works under minimal supervision with wide latitude for independent judgment.",0.0,16,1.0,331818.0,51.0,200.0,Contract,Mid-Senior level
GCP Data Engineer,"Chennai, Tamil Nadu, India",Tata Consultancy Services,On-site,"About the job Greeting from TCS!! Hiring For: GCP Data EngineerExperience: 3+Years Job Description - Strong SQL knowledge – able to translate complex scenarios into queries. Strong Programming experience in Java or Python Experience with Data modeling and mapping. Experience in Google Cloud platform (especially BigQuery & Dataflow) Experience with Google Cloud SDK & API Scripting Experience in Hadoop ( Hive, MapReduce, Spark ) Experience in Onsite-Offshore coordination Experience in Test Driven Development Experience in Agile processes and DevOps methodologies. Experience of Retail domain will be an added advantage",0.0,11,10073.0,11917600.0,10001.0,200000.0,Full-time,Mid-Senior level
PL/SQL Developer,"Kolkata, West Bengal, India",Tata Consultancy Services,Hybrid,"About the job Greetings from TCS Hiring PLSQL Developer for Kolkata location 2-8 years Job description Job Title: PLSQL Developer Location: Kolkata Experience Range: 2 8 Years Must Have Skills: •Good Hands on experience in Oracle SQL, PLSQL•Strong experience with oracle functions, procedures, triggers, packages & query tuning Good-to-Have 1. Hands on experience on Performance Tuning2. Hands on experience on SSIS3. Hands on DBA4. Certification in Oracle SQL & PLSQL5. SQL Server 2012/2016 Minimum Qualification: 15 years of full-time education. Interested candidates can send your resume to amita.patel@tcs.com.",0.0,60,10073.0,11917604.0,10001.0,200000.0,Full-time,Associate
Thunderhead Developer,"Bengaluru, Karnataka, India",Virtusa,On-site,"About the job Hi, Hope you are doing good We need a Thunderhead developer with 5-11 Year Experience to be base at Bengaluru *Should have experience on: 5+ years of experience in Thunderhead PlatformExp in Converting templates to Thunderhead SystemExp in Template creation and Shared Content creation using the Thunderhead – Business Content StudioExp in Java script Position : PermanentExperience: 5 to 11 years.Location : BengaluruNotice period: immediate-, 7 Days, 15 Days, 20 Days, 25 Days Max if you are available for MS Teams/Telephonic Interview strictly between Monday to Friday then kindly share your updated resume ASP at faiyazmd@virtusa.com with the details below:Name (As per PanCard): Total Experience: Relevant Experience: CTC: Expected CTC : Official Notice Period: Can Join in how many Days:",0.0,7,413.0,780908.0,10001.0,200000.0,Full-time,Mid-Senior level
Sr Business Data Analyst (PowerBi)- Remote Work,India,Techolution,Remote,"About the job Techolution is looking out for a detailed oriented Sr Business Data Analyst who will be responsible for identifying and then prioritizing technical and functional requirements, Acting as the key interface between the users, performing detailed requirements analysis, documenting processes and performing user acceptance testing. You should have a natural analytical way of thinking and be able to explain difficult concepts to non-technical users. Title: Sr Business Data AnalystLocation: Remote Exp Level : 5+ years JD: ● To study and analyze user requirements, so as to prepare detailed functional specifications and related documents by engaging internal stakeholders to meet the project timeline.● To prepare project documentation conforming to standards and procedures● Should have excellent understanding of drafting Business Requirement Documents (BRD) and Functional Requirements Documents (FRD).● Hands-on expertise in Data analysis tool like Power BI/Tableau/GDS/Looker.● Sound knowledge on SQL Programming language.● Work with the delivery team to deliver the system according to specification as well as track the tasks assigned to the team in meeting project schedule, quality and within project budget.● To perform extensive application testing including functional and interfaces, etc from test strategy, test planning, design, execution and management of test program and problem resolution.● To support user acceptance testing such as problem resolution, tracking, escalation and closure. ● To execute implementation activities and support post implementation.● Promote transparency and team empowerment across teams with positivity. Interested, can share your updated CV to Madhav@techolution.com Why Join Techolution?Be part of the next most admired high tech brand in the world and launch the next most exciting billion-dollar IPO. We are looking for talent with amazing technical skills with a great foundation for the open role. The type of personalities that do very well at our company are people who are looking to contribute to a larger than life cause. People who are looking for a very high growth environment where they are helping the company grow and also personally growing through a very unique and world-class exposure. Work-Life at Techolution:At Techolution, we do things a bit differently. There's no corporate nonsense, and no old-fashioned hierarchy. Instead, we work in dozens of self-sufficient, autonomous teams. Think of them like start-ups within a start-up that learn from each other. You are your own boss! We're going to be upfront that the way we work doesn't suit everyone. But if freedom, autonomy, and life-affirming, head-scratching professional challenges rock your world, we could be a match made in heaven. About Techolution: Techolution is a hightech consulting company on a mission to accelerate digital transformation for our clients across the globe.We are a very successful start-up that is small enough to care and large enough to be trusted by some of the top brands in the world such as Apple, JPMC, DBS Bank, NBC, Stryker, JCrew, etc. Techolution specializes in UI Modernization, Cloud Transformation, Internet of Things, Big Data & Artificial Intelligence. As a testament to the power of HVPD, we have developed a wealth of world-class products, owned by Techolution, in the space of Virtual Reality, Facial Recognition, Smart Water Monitoring, and many more cutting edge digital products in the pipeline. Techolution currently serves clients across the United States with our headquarters in the heart of downtown New York City.We recently opened “Techolution City” in India as our offshore development center as a living and breathing lab for our IoT Smart City products. Techolution also serves APAC customers from our Singapore office and the Mauritius office supports our initiatives on African content.",0.0,200,5.0,152614.0,201.0,500.0,Full-time,Mid-Senior level
Informatica Developer,"Hyderabad, Telangana, India",Tata Consultancy Services,On-site,"About the job Greetings from TATA Consultancy Services TCS is hiring for Informatica Developer Job Title: Informatica Developer Location: PAN India Experience Range: 2-6 Years Education: Minimum 15 Years of full time education(10th, 12th and Graduation) Job Description: TCS has always been in the spotlight for being adept in the next big technologies. What we can offer you is a space to explore varied technologies and quench your techie soul. Responsibilities: Good Knowledge in Data Warehouse and Database concepts.Expert in Informatica Power center concepts.Gather requirements to define data definitions, transformation logic, and data model logical and physical designs, data flow, and process.Design, develop, and test data processes per business requirements, following the development standards and best practices as well as participate in code peer reviews to ensure our applications comply with best practices.Work with business analysts to gather business requirements from end users and translate them into technical specifications.To be responsible for providing technical guidance / solutions.Provide estimates for development.Test solutions to validate whether requirements have been met; develop test plans, test scripts, and test conditions based on the business and system requirements. Skills: Experience in ETL development using Informatica PowerCenter, PowerCenter 9.x, 10.xExperience in Designing Extract Load Transform ETL solutions for data migration or data integrationExperience in Structure Query Language SQLStrong Informatica technical knowledge in the areas on Informatica Designer Components -Source Analyzer, Mapping Designer & Mapplet Designer, Transformation Developer, Workflow Manager, Workflow Monitor.Analyze, design, implement and test medium to complex mappings independently. Ability to design and implement easily scalable ETL componentsStrong SQL and related skills. Ability to develop and implement complex procedures and packages using Oracle PL/SQL.Experience in parameter file concepts.Experience in transformations like Source qualifier, joiners, union, aggregator, sorter, expression, transaction control, XML transformation, lookups, etcExperience with Informatica Advanced Techniques Dynamic Caching, Memory Management, Parallel Processing to increase Performance throughput",0.0,32,10073.0,11917646.0,10001.0,200000.0,Full-time,Mid-Senior level
"HCL Hiring || ASP.Net MVC || Chennai,Bangalore,Noida","Chennai, Tamil Nadu, India",HCLTech,Hybrid,"About the job Greetings from HCL Technologies!!! We are hiring ASP.Net MVC resources to HCL Technologies (Permanent payroll with HCL) across locations through Virtual Interview. Kindly go through job description and interested candidates are requested to share your resume along with information to screen and schedule the interview. Job Description:Experience: 5 to 12 YearsPrimary Skill: ASP.NET MVC, Web Api, .Net Core,C#Job Location: Chennai,Bangalore,Noida Notice Period: 0 to 30 Days",0.0,61,6556.0,4523934.0,10001.0,200000.0,Full-time,Mid-Senior level
Data Engineering,"Bengaluru, Karnataka, India",Tata Consultancy Services,On-site,About the job Greetings from TCS !!!TCS hiring Data EngineerExperience : 5+ yearsLocation : Bengaluru and Hyderabad Job Description: Must have skills : Advance SQLAnalytical SkillsPythonGitHubTableau,0.0,95,10073.0,11917645.0,10001.0,200000.0,Full-time,Mid-Senior level
Sr. Salesforce Developer,"Hyderabad, Telangana, India",Numeric Technologies,Hybrid,"About the job Job title: Senior Salesforce DeveloperLocation: Hyderabad (Hybrid)Experience Level: min 7 years of Salesforce developement exp. Job Description:Must have PD1 certificationExcellent Salesforce configuration experience.Design, develop, document, test, and debug new and existing software systems and/or applications for market sale or large-scale proprietary software for internal use.Serve as technical expert on development projects. Participate in full development life cycle including requirements analysis and design.Write technical specifications based on conceptual design and stated business requirements.Analyze code to find causes of errors and revise programs as needed.Participate in software design meetings and analyze user needs to determine technical requirements.Consult with end user to prototype, refine, test, and debug programs to meet needs.Considered highly skilled and proficient in discipline.Works under minimal supervision with wide latitude for independent judgment.",0.0,18,9.0,37230.0,501.0,1000.0,Full-time,Mid-Senior level
